Feature,MannWhitneyU_Statistic,P-value
40520,125012.0,0.04621604542525654
40545,146457.0,0.0017585825580785001
43675,136031.5,0.6467501278118433
45851,135988.0,0.6866185846679509
46124,134250.5,0.8461318240198281
46228,135466.5,0.8600743575717683
46503,140991.5,0.18454566074323286
46506,132301.0,0.5830819307520442
47678,143253.0,0.06618154235117854
52226,133316.0,0.5233353598421626
53345,136845.0,0.255089600354362
53443,127714.5,0.007817815383626735
61171,128054.0,0.05517229731490079
68892,126789.0,0.002490649530347903
74426,120720.0,0.0033502632764000253
84112,125715.0,0.004789448654311393
84135,130579.0,0.11692631681997026
88431,152217.0,0.00028295602702833764
100886,142956.0,0.003138731370021113
102148,134177.5,0.8736568522119924
106588,135698.0,0.7462686391410998
113107,135832.0,0.7393330450828184
116085,138944.0,0.3677361258797113
154046,143855.0,0.019162730977929827
154288,137443.0,0.1248898489415081
165179,133458.0,0.737860165624364
166486,134770.5,0.9866047544833153
169435,128497.0,0.038744159033761584
187327,134629.0,0.9762599607165384
204516,135744.0,0.7967194234921366
208479,136678.0,0.6338981791772771
214856,124063.0,0.01809959713795802
216816,123423.0,0.018710410612442545
218538,144218.0,0.020165310534592557
239935,146365.0,0.011619356962483734
246787,129761.0,0.2708757496356663
261299,115176.5,6.071841452805322e-07
291644,134035.0,0.8217049245919616
291645,133896.0,0.8129035224802702
292800,140731.0,0.09198267067420875
301301,152649.5,0.00010246374232464363
310297,122712.0,0.0002611019671125614
310298,140097.5,0.0720862385151638
322095,134806.0,0.9517385472703733
328812,142980.0,0.010855718655451393
328813,151450.5,0.00037546097532450073
328814,125796.5,0.06381942672150916
329854,146708.5,0.00024263292619183192
333367,134563.0,0.9688242538887877
338188,139773.5,0.13134464206891486
341694,133102.5,0.5854467012920161
357276,128454.0,0.19574246065474965
358743,136708.5,0.5486311823273015
360807,150927.0,0.0007857858802343294
363265,130819.0,0.04575507008925606
371601,143151.0,0.06339648704233482
387090,140555.0,0.0038567714228367376
387661,130894.5,0.21006205230280117
410072,134902.0,0.9653927398274116
411489,133575.5,0.632583517937311
446660,127507.0,0.08894674023805882
454154,147271.0,0.000315096358271725
454155,137594.0,0.3444352867349961
457412,130449.0,0.2529569506570405
457421,129911.0,0.09878682558145277
457422,121432.0,2.077571649667662e-05
469610,127668.5,0.0496682677342831
469614,134719.5,0.9921956482357518
471189,129538.5,0.1215565538177879
487173,138476.0,0.05282592053696614
487174,129721.5,0.29676986148158335
487175,132905.0,0.6273808552445508
552398,137622.5,0.39812572756728015
626929,137247.5,0.44626654209843597
626932,132338.5,0.5565869326374125
626935,140643.0,0.003132676462396337
626940,135832.0,0.7621890541362439
649756,112691.5,1.1485083718808284e-06
658081,124498.5,0.018456993359282255
658082,118073.0,7.318775184998548e-06
658085,131496.0,0.1356833692310707
658086,134921.5,0.9487273967447742
658087,128368.5,0.15383584486006996
658089,107995.5,9.504156607647969e-09
658655,140440.0,0.06307175412099032
658657,120928.0,8.547870517433113e-06
665950,135522.5,0.8538228398783042
665951,133400.0,0.7288910989492696
674529,137535.0,0.4353048281813843
751585,134242.0,0.8838457839768183
1070699,134170.0,0.829174318290748
1099853,141431.5,0.08216079475987782
1118060,137211.5,0.43975411523407537
1118061,131724.5,0.5248728677655139
1161942,129030.0,0.0021231469330197437
1288121,140758.5,0.12096294015327431
